design,battery_kwh,pv_kw,accurate_operational_cost,accurate_total_cost,accurate_lcoe,accurate_rank,lp_rank,lp_lcoe,order_gain
B500_PV500,500.0,500.0,198554.11376596964,286299.0702063343,0.18726099495126575,1,1,0.1872609949519153,0
B1000_PV500,1000.0,500.0,196629.61894811905,311596.20335026586,0.2038072111807953,2,2,0.20380721118209433,0
B1500_PV500,1500.0,500.0,194705.1241302685,336893.3364941974,0.22035342741032485,3,3,0.22035342741227346,0
B500_PV1000,500.0,1000.0,190806.21463730908,339074.49955625617,0.22178007111146472,4,4,0.22178007111211426,0
B2000_PV500,2000.0,500.0,192780.6293124179,362190.469638129,0.23689964363985438,5,5,0.23689964364245253,0
B1000_PV1000,1000.0,1000.0,188881.71981945855,364371.6327001878,0.23832628734099431,6,6,0.23832628734229333,0
B2500_PV500,2500.0,500.0,190856.13449456732,387487.6027820606,0.253445859869384,7,7,0.253445859869384,0
B1500_PV1000,1500.0,1000.0,186957.22500160796,389668.76584411936,0.2548725035705239,8,8,0.25487250357247243,0
B500_PV1500,500.0,1500.0,183058.3155086486,391849.92890617816,0.25629914727166375,9,9,0.2562991472723133,0
