timestamp,load_kw,pv_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,soc_kwh,grid_price_per_kwh
2025-01-02 08:00:00,1084.9007104877887,48.55487948172365,0.0,1036.345831006065,0.0,0.0,50.0,0.10035983757741293
2025-01-02 09:00:00,1071.1324067182577,70.45310152758948,0.0,1000.6793051906682,0.0,0.0,50.0,0.10050509999385744
2025-01-02 10:00:00,1052.124721016569,86.77025629144956,0.0,965.3544647251196,0.0,0.0,50.0,0.10068618439825534
2025-01-02 11:00:00,1025.439657861359,96.98028035727593,0.0,928.459377504083,0.0,0.0,50.0,0.1006300464106211
2025-01-02 12:00:00,1014.9774108272069,100.33665923191742,0.0,914.6407515952894,0.0,0.0,50.0,0.15072285631337104
2025-01-02 13:00:00,1015.7349676374273,97.30282164649901,0.0,918.4321459909283,0.0,0.0,50.0,0.15080264057881274
2025-01-02 14:00:00,1059.78858840998,87.86610729410427,0.0,971.9224811158758,0.0,0.0,50.0,0.1509597145233638
2025-01-02 15:00:00,1113.5853382558462,73.90195161252664,0.0,1039.6833866433196,0.0,0.0,50.0,0.15133300817642312
2025-01-02 16:00:00,1175.1665129484793,51.77421448109893,0.0,1123.3922984673804,0.0,0.0,50.0,0.15120404849477764
2025-01-02 17:00:00,1231.643475259034,26.7321553827874,1204.9113198762466,0.0,0.0,0.0,50.0,0.2610744788898239
2025-01-02 18:00:00,1280.0132234802566,1.2797098718333418e-14,1280.0132234802566,0.0,0.0,0.0,50.0,0.2610115061095588
2025-01-02 19:00:00,1316.5490088538825,0.0,1316.5490088538825,0.0,0.0,0.0,50.0,0.2608403310073944
2025-01-02 20:00:00,1319.0768648987687,0.0,1319.0768648987687,0.0,0.0,0.0,50.0,0.26070610127169735
2025-01-02 21:00:00,1277.8944086027288,0.0,1277.8944086027288,0.0,0.0,0.0,50.0,0.2603858898457719
2025-01-02 22:00:00,1210.8678056021993,0.0,0.0,1210.8678056021993,0.0,0.0,50.0,0.10047397054615914
2025-01-02 23:00:00,1150.2986932901001,0.0,0.0,1150.2986932901001,0.0,0.0,50.0,0.1008748330462483
2025-01-03 00:00:00,1009.2153803180236,0.0,0.0,1009.2153803180236,0.0,0.0,50.0,0.10058363724027294
2025-01-03 01:00:00,1015.1377327012282,0.0,0.0,1015.1377327012282,0.0,0.0,50.0,0.10018587823053034
2025-01-03 02:00:00,995.3569114042263,0.0,0.0,995.3569114042263,0.0,0.0,50.0,0.10014117209368098
2025-01-03 03:00:00,994.473333352553,0.0,0.0,994.473333352553,0.0,0.0,50.0,0.09979902201352907
2025-01-03 04:00:00,1013.5939300028701,0.0,0.0,1013.5939300028701,0.0,0.0,50.0,0.10018175764737189
2025-01-03 05:00:00,1042.195314116805,0.0,0.0,1042.195314116805,0.0,0.0,50.0,0.09971817718911988
2025-01-03 06:00:00,1078.9023236751284,0.0,0.0,1078.9023236751284,0.0,0.0,50.0,0.09943301667710688
2025-01-03 07:00:00,1119.7519740879775,28.693483079558398,0.0,1091.0584910084192,0.0,0.0,50.0,0.09949884901264272
2025-01-03 08:00:00,1138.3631993022866,53.81105643098713,0.0,1084.5521428712996,0.0,0.0,50.0,0.0996164768342112
2025-01-03 09:00:00,1118.7496819546743,75.50966421423696,0.0,1043.2400177404375,0.0,0.0,50.0,0.09932983618985905
2025-01-03 10:00:00,1069.6221807059978,92.49385242506771,0.0,977.1283282809301,0.0,0.0,50.0,0.09945716400955422
2025-01-03 11:00:00,1031.6972621238522,102.33270652125024,0.0,929.364555602602,0.0,0.0,50.0,0.09953105206389533
2025-01-03 12:00:00,1019.5005955408787,104.92589404996221,0.0,914.5747014909166,0.0,0.0,50.0,0.14963551709236575
2025-01-03 13:00:00,1026.6524057483698,102.7325333035347,0.0,923.9198724448352,0.0,0.0,50.0,0.14921768078982928
2025-01-03 14:00:00,1068.3216649814558,92.63415523399543,0.0,975.6875097474604,0.0,0.0,50.0,0.14933626855155063
2025-01-03 15:00:00,1126.5907590095837,74.4662143588845,0.0,1052.1245446506991,0.0,0.0,50.0,0.14890584370592974
2025-01-03 16:00:00,1201.0632053218717,51.694017882311044,0.0,1149.3691874395606,0.0,0.0,50.0,0.14882662116850612
2025-01-03 17:00:00,1278.8075547086435,26.489268042416285,1252.318286666227,0.0,0.0,0.0,50.0,0.2586006955837893
2025-01-03 18:00:00,1337.9227607541025,1.2321722228429385e-14,1337.9227607541025,0.0,0.0,0.0,50.0,0.2589435734910767
2025-01-03 19:00:00,1350.9803545874477,0.0,1350.9803545874477,0.0,0.0,0.0,50.0,0.25902840946062045
2025-01-03 20:00:00,1327.1201462501533,0.0,1327.1201462501533,0.0,0.0,0.0,50.0,0.25919755486956114
2025-01-03 21:00:00,1289.3283549433625,0.0,1289.3283549433625,0.0,0.0,0.0,50.0,0.25958532302100445
2025-01-03 22:00:00,1228.8862905591775,0.0,0.0,1228.8862905591775,0.0,0.0,50.0,0.09965339874082556
2025-01-03 23:00:00,1154.96752043904,0.0,0.0,1154.96752043904,0.0,0.0,50.0,0.0997354051605013
2025-01-04 00:00:00,930.0668116053871,0.0,0.0,930.0668116053871,0.0,0.0,50.0,0.08463362438897262
2025-01-04 01:00:00,942.3464905080697,0.0,0.0,942.3464905080697,0.0,0.0,50.0,0.0848785657129159
2025-01-04 02:00:00,945.4664321478516,0.0,0.0,945.4664321478516,0.0,0.0,50.0,0.08491192662296564
