timestamp,load_kw,solar_cf,grid_price_per_kwh,pv_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,soc_kwh,diesel_on
2025-01-06 12:00:00,1037.981214669055,0.2115697427517778,0.14978461388763895,105.78487137588891,-2.842170943040401e-14,932.196343293166,0.0,0.0,450.0,0
2025-01-06 13:00:00,1054.311917231371,0.2094788320580443,0.1498730750336707,104.73941602902215,-5.684341886080802e-14,899.5725012023488,0.0,50.0,397.36842105263156,0
2025-01-06 14:00:00,1101.9313909225154,0.18356727015121518,0.14981732314972107,91.78363507560759,-3.197442310920451e-14,980.1477558469079,0.0,29.99999999999999,365.7894736842105,0
2025-01-06 15:00:00,1166.8186870402685,0.1552959316715029,0.14989735573866114,77.64796583575145,-5.684341886080802e-14,1039.1707212045171,0.0,50.0,313.1578947368421,0
2025-01-06 16:00:00,1237.401968585865,0.10806184650157999,0.14966592095621706,54.030923250789996,1.4210854715202004e-14,1183.371045335075,0.0,0.0,313.1578947368421,0
2025-01-06 17:00:00,1306.460133141137,0.056490245315382125,0.25964525712135433,28.245122657691063,1228.215010483446,0.0,0.0,50.0,260.52631578947364,1
2025-01-06 18:00:00,1352.9682802026523,2.6211088351635467e-17,0.2597583499380929,0.0,1302.9682802026523,0.0,0.0,50.0,207.89473684210523,1
2025-01-06 19:00:00,1365.16619938413,0.0,0.259566259621961,0.0,1315.16619938413,0.0,0.0,50.0,155.26315789473682,1
2025-01-06 20:00:00,1355.3918161304382,0.0,0.2596467338599731,0.0,1305.3918161304382,0.0,0.0,50.0,102.63157894736841,1
2025-01-06 21:00:00,1294.642354883842,0.0,0.25930794646874133,0.0,1244.642354883842,0.0,0.0,50.0,50.0,1
2025-01-06 22:00:00,1224.663427219814,0.0,0.09953875839190016,0.0,8.526512829121202e-14,1245.7160587987612,21.05263157894737,0.0,70.0,0
2025-01-06 23:00:00,1166.6933212535498,0.0,0.09948051940836058,0.0,0.0,1216.6933212535498,50.0,0.0,117.5,0
2025-01-07 00:00:00,1013.824502737481,0.0,0.09925334013748469,0.0,0.0,1063.824502737481,50.0,0.0,165.0,0
2025-01-07 01:00:00,1012.4998293046868,0.0,0.09952737786415954,0.0,-1.1368683772161603e-13,1062.499829304687,50.0,0.0,212.5,0
2025-01-07 02:00:00,991.9181987610815,0.0,0.09986460684890751,0.0,0.0,991.9181987610815,0.0,0.0,212.5,0
2025-01-07 03:00:00,990.7090298441501,0.0,0.09954027753268195,0.0,0.0,990.7090298441501,0.0,0.0,212.5,0
2025-01-07 04:00:00,989.5158455737926,0.0,0.09943762536352124,0.0,0.0,1039.5158455737926,50.0,0.0,260.0,0
2025-01-07 05:00:00,999.7318279834249,0.0,0.09956396069004275,0.0,0.0,999.7318279834249,0.0,0.0,260.0,0
2025-01-07 06:00:00,1051.3016942482068,0.0,0.099432909860806,0.0,0.0,1101.3016942482068,50.0,0.0,307.5,0
2025-01-07 07:00:00,1094.8545735509724,0.05421463511059931,0.09969607552335052,27.107317555299655,3.197442310920451e-14,1067.7472559956727,0.0,0.0,307.5,0
2025-01-07 08:00:00,1112.1341708125935,0.10537364561468134,0.09974546309927416,52.68682280734067,-6.394884621840902e-14,1059.447348005253,0.0,0.0,307.5,0
2025-01-07 09:00:00,1105.7981936237018,0.14978272988394664,0.09947623744594392,74.89136494197332,-4.263256414560601e-14,1080.9068286817285,50.0,0.0,355.0,0
2025-01-07 10:00:00,1072.6071132161194,0.18223007756665358,0.09935591492382961,91.11503878332678,0.0,1031.4920744327926,50.0,0.0,402.5,0
2025-01-07 11:00:00,1052.9926914736573,0.1979554757474278,0.09931626211283774,98.9777378737139,-4.263256414560601e-14,1004.0149535999434,50.0,0.0,450.0,0
2025-01-07 12:00:00,1037.5102294364706,0.20581797092201728,0.1496083043434576,102.90898546100864,4.263256414560601e-14,884.6012439754619,0.0,50.0,397.36842105263156,0
2025-01-07 13:00:00,1038.863496784157,0.20431474356206192,0.14944562411153156,102.15737178103096,1.4210854715202004e-14,936.706125003126,0.0,0.0,397.36842105263156,0
2025-01-07 14:00:00,1075.984469274636,0.18053377323271808,0.1495407038026778,90.26688661635903,-3.197442310920451e-14,955.717582658277,0.0,29.99999999999999,365.7894736842105,0
2025-01-07 15:00:00,1130.0627116650287,0.14808020119586351,0.14955614584315935,74.04010059793175,1.4210854715202004e-14,1006.0226110670969,0.0,50.0,313.1578947368421,0
2025-01-07 16:00:00,1205.8662288661815,0.1038399777338487,0.1494840108569197,51.91998886692435,-3.552713678800501e-14,1153.9462399992572,0.0,0.0,313.1578947368421,0
2025-01-07 17:00:00,1262.5683457015298,0.05277808094824507,0.2600228348697897,26.389040474122535,1186.1793052274072,0.0,0.0,50.0,260.52631578947364,1
2025-01-07 18:00:00,1306.0487769819629,2.5316824050818076e-17,0.2598520908869094,0.0,1256.0487769819629,0.0,0.0,50.0,207.89473684210523,1
2025-01-07 19:00:00,1325.8980196015996,0.0,0.25994441887081227,0.0,1275.8980196015996,0.0,0.0,50.0,155.26315789473682,1
2025-01-07 20:00:00,1308.68535134346,0.0,0.2597825174742114,0.0,1258.68535134346,0.0,0.0,50.0,102.63157894736841,1
2025-01-07 21:00:00,1261.5829054739384,0.0,0.260136414409035,0.0,1211.5829054739384,0.0,0.0,50.0,50.0,1
2025-01-07 22:00:00,1199.22128653136,0.0,0.10021980616842768,0.0,0.0,1199.22128653136,0.0,0.0,50.0,0
2025-01-07 23:00:00,1136.2080722383348,0.0,0.1005283641190893,0.0,0.0,1136.2080722383348,0.0,-0.0,50.0,0
2025-01-08 00:00:00,995.0504408969178,0.0,0.1002972830755615,0.0,-2.842170943040401e-14,1016.1030724758652,21.05263157894737,0.0,70.0,0
2025-01-08 01:00:00,1015.18473497778,0.0,0.10022466571866301,0.0,0.0,1065.18473497778,50.0,0.0,117.5,0
2025-01-08 02:00:00,1000.766350351774,0.0,0.09987290862506155,0.0,0.0,1050.766350351774,50.0,0.0,165.0,0
2025-01-08 03:00:00,1010.2534422980929,0.0,0.1000452606513936,0.0,-1.1368683772161603e-13,1060.253442298093,50.0,0.0,212.5,0
2025-01-08 04:00:00,1021.4353351065946,0.0,0.1002593763415593,0.0,-1.1368683772161603e-13,1071.4353351065947,50.0,0.0,260.0,0
2025-01-08 05:00:00,1045.8405133599035,0.0,0.10000472805588671,0.0,0.0,1095.8405133599035,50.0,0.0,307.5,0
2025-01-08 06:00:00,1079.0182889780679,0.0,0.09983918585767415,0.0,0.0,1129.0182889780679,50.0,0.0,355.0,0
2025-01-08 07:00:00,1097.1475786580957,0.05485843316790509,0.09957947660343668,27.429216583952545,-1.0658141036401503e-13,1119.7183620741432,50.0,0.0,402.5,0
2025-01-08 08:00:00,1116.064433525784,0.10518514774130393,0.09997498073029489,52.59257387065196,-5.684341886080802e-14,1113.471859655132,50.0,0.0,450.0,0
2025-01-08 09:00:00,1085.6693430527305,0.1514306735391007,0.10046721207317796,75.71533676955035,4.263256414560601e-14,1009.9540062831801,-0.0,0.0,450.0,0
2025-01-08 10:00:00,1051.9889180824846,0.1836697747431433,0.10046953649596403,91.83488737157165,0.0,960.1540307109129,0.0,0.0,450.0,0
2025-01-08 11:00:00,1012.773755969538,0.2058827792789629,0.10052346736875066,102.94138963948144,4.263256414560601e-14,909.8323663300565,0.0,0.0,450.0,0
