timestamp,load_kw,pv_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,soc_kwh,grid_price_per_kwh
2025-01-31 16:00:00,1254.2203100414958,244.17780723466896,0.0,972.5425028068269,0.0,37.5,322.5,0.15094755749206507
2025-01-31 17:00:00,1320.3053988057613,125.58130111534362,1144.7240976904177,0.0,0.0,50.0,269.86842105263156,0.26058167447156905
2025-01-31 18:00:00,1383.2672241154337,5.980339488433476e-14,1333.2672241154337,0.0,0.0,50.0,217.23684210526312,0.26069288757517745
2025-01-31 19:00:00,1409.130532539675,0.0,1359.130532539675,0.0,0.0,50.0,164.60526315789468,0.2607644648089163
2025-01-31 20:00:00,1392.334324452476,0.0,1342.334324452476,0.0,0.0,50.0,111.97368421052626,0.260193609021582
2025-01-31 21:00:00,1336.0171724192676,0.0,1286.0171724192676,0.0,0.0,50.0,59.34210526315783,0.26006920398257305
2025-01-31 22:00:00,1257.2235578917587,0.0,0.0,1244.7235578917587,0.0,12.5,50.0,0.10020232662297879
2025-01-31 23:00:00,1186.918277121215,0.0,0.0,1186.918277121215,0.0,0.0,50.0,0.10007469584762163
2025-02-01 00:00:00,979.3448361960242,50.0,0.0,1029.344836196024,50.0,0.0,97.5,0.08507970137176613
2025-02-01 01:00:00,967.920515724024,50.0,0.0,1017.920515724024,50.0,0.0,145.0,0.08482844851392174
2025-02-01 02:00:00,957.6750689253248,50.0,0.0,1007.6750689253248,50.0,0.0,192.5,0.08458534251999206
2025-02-01 03:00:00,970.3525981078784,50.0,0.0,1020.3525981078784,50.0,0.0,240.0,0.08461926779380223
2025-02-01 04:00:00,986.9331604257093,50.0,0.0,1036.9331604257093,50.0,0.0,287.5,0.08501484359596691
2025-02-01 05:00:00,1013.6666569582253,0.0,0.0,963.6666569582253,0.0,50.0,234.86842105263156,0.08534060419312244
2025-02-01 06:00:00,1049.1004691817445,0.0,0.0,999.1004691817445,0.0,50.0,182.23684210526312,0.08535972029229155
2025-02-01 07:00:00,1085.9375155909752,193.78122957113237,0.0,992.1562860198428,50.0,0.0,229.73684210526312,0.08521098776019326
2025-02-01 08:00:00,1096.4120986140595,319.8710906427041,0.0,876.5410079713554,50.0,0.0,277.2368421052631,0.08517446725139148
2025-02-01 09:00:00,1089.4408122259813,436.2012266571034,0.0,753.2395855688778,50.0,0.0,324.7368421052631,0.08461059950702338
2025-02-01 10:00:00,1060.9316093153325,518.4951404387241,0.0,642.4364688766084,50.0,0.0,372.2368421052631,0.08429441228821907
2025-02-01 11:00:00,1033.819239393536,575.3741984751277,0.0,558.4450409184083,50.0,0.0,419.7368421052631,0.08440740623400285
2025-02-01 12:00:00,1028.1498618573494,562.8028564494819,0.0,515.3470054078675,25.0,0.0,443.4868421052631,0.1348511244191985
