timestamp,load_kw,solar_cf,grid_price_per_kwh,pv_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,soc_kwh,diesel_on
2025-01-01 00:00:00,1014.1801852993682,0.0,0.09950920888782558,0.0,0.0,1014.1801852993682,0.0,0.0,250.0,0
2025-01-01 01:00:00,1003.2194042526338,0.0,0.09953631615018331,0.0,0.0,1003.2194042526338,0.0,0.0,250.0,0
2025-01-01 02:00:00,1007.9976053092779,0.0,0.09955404587051961,0.0,0.0,1007.9976053092779,0.0,0.0,250.0,0
2025-01-01 03:00:00,1015.3535232464026,0.0,0.0994595987593168,0.0,0.0,1015.3535232464026,0.0,0.0,250.0,0
2025-01-01 04:00:00,1022.1504172857416,0.0,0.09949923884162175,0.0,0.0,1022.1504172857416,0.0,0.0,250.0,0
2025-01-01 05:00:00,1038.9328584412774,0.0,0.09937783344918157,0.0,0.0,1038.9328584412774,0.0,0.0,250.0,0
2025-01-01 06:00:00,1048.3808022068083,0.0,0.09926887230072924,0.0,0.0,1048.3808022068083,0.0,0.0,250.0,0
2025-01-01 07:00:00,1090.9948418832516,0.053049606689494336,0.0990615181094066,97.25759458087073,4.263256414560601e-14,1043.7372473023809,50.0,0.0,297.5,0
2025-01-01 08:00:00,1102.1464847931659,0.10088788967506486,0.09908448376419075,184.96109744165568,5.684341886080802e-14,967.1853873515101,50.0,0.0,345.0,0
2025-01-01 09:00:00,1077.265799577593,0.1431267048922379,0.0989643227452007,262.3989112602012,0.0,864.8668883173918,50.0,0.0,392.5,0
2025-01-01 10:00:00,1037.7885079593675,0.1788603647115117,0.09888057463515042,327.9106090176499,0.0,759.8778989417176,50.0,0.0,440.0,0
2025-01-01 11:00:00,1021.2370400502305,0.19726146035376343,0.09911136992179266,361.6459448947462,4.263256414560601e-14,670.1174109449579,10.526315789473685,0.0,450.0,0
2025-01-01 12:00:00,1025.9804549559944,0.2056069229985575,0.14910419999125551,376.94595696171444,-4.618527782440651e-14,619.0344979942801,0.0,29.99999999999999,418.42105263157896,0
2025-01-01 13:00:00,1037.1881710421203,0.1936810950045382,0.14924352523582643,355.08194294795504,-5.684341886080802e-14,632.1062280941653,0.0,50.0,365.7894736842105,0
2025-01-01 14:00:00,1067.8223645324051,0.16773542297031843,0.14912621692354372,307.5148862004428,0.0,710.3074783319623,0.0,50.0,313.1578947368421,0
2025-01-01 15:00:00,1126.5932151270258,0.13447726668081234,0.14885092092525556,246.54161075573373,-2.842170943040401e-14,880.0516043712921,0.0,0.0,313.1578947368421,0
